epoca,a,b,mse
75,2.0000018834,1.0259573574,0.2317260944
76,2.0000018834,1.0259573573,0.2317260944
77,2.0000018834,1.0259573574,0.2317260944
78,2.0000018834,1.0259573573,0.2317260944
79,2.0000018834,1.0259573574,0.2317260944
80,2.0000018834,1.0259573574,0.2317260944
81,2.0000018834,1.0259573574,0.2317260944
82,2.0000018834,1.0259573574,0.2317260944
83,2.0000018834,1.0259573574,0.2317260944
84,2.0000018834,1.0259573574,0.2317260944
85,2.0000018834,1.0259573574,0.2317260944
86,2.0000018834,1.0259573574,0.2317260944
87,2.0000018834,1.0259573574,0.2317260944
88,2.0000018834,1.0259573574,0.2317260944
89,2.0000018834,1.0259573574,0.2317260944
90,2.0000018834,1.0259573574,0.2317260944
91,2.0000018834,1.0259573574,0.2317260944
92,2.0000018834,1.0259573574,0.2317260944
93,2.0000018834,1.0259573574,0.2317260944
94,2.0000018834,1.0259573574,0.2317260944
95,2.0000018834,1.0259573574,0.2317260944
96,2.0000018834,1.0259573574,0.2317260944
97,2.0000018834,1.0259573574,0.2317260944
98,2.0000018834,1.0259573574,0.2317260944
99,2.0000018834,1.0259573574,0.2317260944
100,2.0000018834,1.0259573574,0.2317260944
101,2.0000018834,1.0259573574,0.2317260944
102,2.0000018834,1.0259573574,0.2317260944
103,2.0000018834,1.0259573574,0.2317260944
104,2.0000018834,1.0259573574,0.2317260944
105,2.0000018834,1.0259573574,0.2317260944
106,2.0000018834,1.0259573574,0.2317260944
107,2.0000018834,1.0259573574,0.2317260944
108,2.0000018834,1.0259573574,0.2317260944
109,2.0000018834,1.0259573574,0.2317260944
110,2.0000018834,1.0259573574,0.2317260944
111,2.0000018834,1.0259573574,0.2317260944
112,2.0000018834,1.0259573574,0.2317260944
113,2.0000018834,1.0259573574,0.2317260944
114,2.0000018834,1.0259573574,0.2317260944
115,2.0000018834,1.0259573574,0.2317260944
116,2.0000018834,1.0259573574,0.2317260944
117,2.0000018834,1.0259573574,0.2317260944
118,2.0000018834,1.0259573574,0.2317260944
119,2.0000018834,1.0259573574,0.2317260944
120,2.0000018834,1.0259573574,0.2317260944
121,2.0000018834,1.0259573574,0.2317260944
122,2.0000018834,1.0259573574,0.2317260944
123,2.0000018834,1.0259573574,0.2317260944
124,2.0000018834,1.0259573574,0.2317260944
125,2.0000018834,1.0259573574,0.2317260944
